Day,Time,Subject,Duration
Monday,09:00 AM,Mathematics,1 hour
Monday,11:00 AM,Physics,1.5 hours
Monday,02:00 PM,Chemistry Lab,2 hours
Tuesday,10:00 AM,English Literature,1 hour
Tuesday,01:00 PM,Biology,1 hour
Tuesday,03:00 PM,Computer Science,1.5 hours
Wednesday,09:30 AM,History,1 hour
Wednesday,11:30 AM,Geography,1 hour
Wednesday,02:30 PM,Art Class,2 hours
Thursday,08:00 AM,Physical Education,1 hour
Thursday,10:30 AM,Mathematics,1 hour
Thursday,01:30 PM,Physics Lab,2 hours
Friday,09:00 AM,Chemistry,1 hour
Friday,11:00 AM,Biology Lab,2 hours
Friday,03:00 PM,Music Class,1 hour